Questions,Answers
What is the purpose of the Class.forName() method in JDBC?,The Class.forName() method in JDBC is used to dynamically load the JDBC driver class at runtime.
How do you handle BLOB and CLOB data types in JDBC?,"BLOB (Binary Large Object) and CLOB (Character Large Object) are used to store large amounts of binary and character data, respectively, in databases. JDBC provides specific methods for handling BLOB and CLOB data types."
What is reflection in Java? How is it used?,"Reflection in Java allows you to inspect and modify the behavior of classes, methods, and fields at runtime."
Explain the significance of the getClass() method in Java.,The getClass() method in Java is used to get the runtime class of an object.
What are annotations in Java? Give examples of built-in annotations.,"Annotations in Java provide metadata that can be used by the compiler or runtime to modify the behavior of classes, methods, or fields."
How do you create custom annotations in Java?,Custom annotations in Java can be created by defining an interface with the @interface keyword and specifying the retention policy and target elements.
What is the difference between inheritance and composition in Java?,Inheritance is the process of acquiring the properties and behaviors of a parent class in a subclass. Composition is a design principle where a class is composed of objects from other classes rather than inheriting their behaviors.
Explain the use of the finalize() method in Java.,The finalize() method in Java is called by the Garbage Collector before reclaiming an object's memory. It is used for cleanup tasks.
What is a static class in Java? Can you define a top-level class as static?,A static nested class is a nested class that is declared as static. It can be accessed using the outer class name without creating an instance of the outer class.
How do you create an immutable class in Java?,An immutable class in Java is a class whose objects cannot be modified after creation. It ensures that the state of the object remains constant throughout its lifetime.
What is the difference between deep copy and shallow copy in Java?,A deep copy creates a new object and copies all the attributes and content of the original object into the new object. A shallow copy creates a new object but only copies references to the original object's attributes.
What is the purpose of the serialVersionUID in Serializable classes?,The serialVersionUID is a unique identifier for serializable classes that helps in versioning objects during deserialization.
What are the access modifiers in Java? Explain each one.,"Access modifiers in Java control the visibility of classes, methods, and variables. The four access modifiers are public, protected, private, and default (package-private)."
What is the strictfp keyword in Java? How is it used?,The strictfp keyword in Java is used to ensure that floating-point calculations are platform-independent and produce consistent results.
Explain the difference between a stack and a heap in Java.,"The stack is used for method calls and local variable storage, and the heap is used for dynamic memory allocation (object storage)."
What is the purpose of the System.gc() method in Java?,The System.gc() method is used to suggest that the garbage collector should run to reclaim unused memory.
How do you handle multiple catch blocks in Java?,Multiple catch blocks can be used to catch different types of exceptions that may be thrown by the code in the try block.
"What are the different types of references in Java? Explain strong, soft, weak, and phantom references.","References in Java are used to store memory addresses of objects. Strong references are the default type of references and are used for regular objects. Soft references, weak references, and phantom references are used for memory-sensitive operations."
What is the purpose of the Transient keyword in Java?,The Transient keyword in Java is used to indicate that a variable should not be serialized when an object is serialized.
How do you create and use enum types in Java?,Enum types in Java are used to define a fixed set of constants. They provide type safety and can be used in switch statements.
Explain the difference between default methods and static methods in interfaces.,The @FunctionalInterface annotation in Java is used to indicate that an interface is a functional interface and can be used with lambda expressions.
What are the advantages of using an interface over an abstract class in Java?,"The Callable interface in Java is similar to the Runnable interface, but the Callable interface returns a result and can throw checked exceptions."
What are default methods in interfaces? How do they affect backward compatibility?,Interfaces are used over abstract classes in Java when multiple inheritance is required or when a class needs to implement behavior from multiple sources.
What is a lambda expression? How is it used in Java?,Default methods in interfaces allow the addition of new methods to existing interfaces without breaking the implementing classes. They provide backward compatibility.
What is the purpose of the Collectors class in Java 8?,"Lambda expressions in Java 8 provide a concise syntax for implementing functional interfaces and are used for passing behavior to higher-order functions like map, filter, etc., in the Stream API."
How do you handle checked exceptions in Java 8 streams?,"The Collectors class in Java 8 provides utility methods for working with streams, like grouping elements, aggregating, and collecting data into a collection."
Explain the difference between the peek() and map() methods in Java 8 streams.,Checked exceptions in Java 8 streams can be handled using the new .exceptionally() method in the CompletableFuture class.
How do you convert a List to a Map using streams in Java 8?,The peek() method in Java 8 streams is used for debugging and allows you to perform an action on each element of the stream without changing the stream itself. The map() method transforms each element of the stream based on the provided function.
What is the purpose of the Optional class in Java 8?,A List can be converted to a Map using the Collectors.toMap() method in Java 8.
What are the new features introduced in Java 11?,The Optional class in Java 8 is used to represent an optional value that may or may not exist.
Explain the concept of var in Java 11 and its limitations.,"Some new features introduced in Java 11 include the launch single-file source code programs using java, low overhead heap profiling, and new HTTP client."
What is the purpose of the HttpClient class in Java 11?,The HttpClient class in Java 11 provides a more flexible and efficient way to send HTTP requests and receive responses.
How do you create and use records in Java 16?,"Records in Java 16 are classes that are used to represent simple data containers. They automatically generate constructor, getters, and other methods."
What is the difference between the record and the class in Java 16?,The main difference between a record and a class in Java 16 is that records are immutable and automatically generate methods for reading and writing data.
How do you handle checked exceptions in Java 16 records?,Checked exceptions can be handled in Java 16 records using the with expression.
What is pattern matching in Java? How is it used in Java 16?,"Pattern matching in Java 16 simplifies the code when working with instanceof and type casting, making it more concise and readable."
Explain the difference between sealed classes and final classes in Java 17.,"Sealed classes in Java 17 restrict which classes can be subclasses, providing more control over inheritance."
How do you use sealed classes in Java 17 for inheritance control?,Sealed classes use the sealed modifier on the class declaration to specify which classes can be subclasses.
What is the purpose of the switch expression in Java 12?,"The switch expression in Java 12 is an enhanced version of the switch statement. It returns a value, making it more expressive and flexible."
How is the instanceof operator used in Java?,The instanceof operator in Java is used to test if an object is an instance of a particular class or interface.
Explain the difference between the new and newInstance() methods in Java.,"The new operator is used to create an instance of a class, while the newInstance() method is used to create an instance of a class using reflection."
What is the purpose of the instanceof operator in Java?,The instanceof operator in Java is used to test if an object is an instance of a particular class or interface.
How do you create a custom exception in Java?,A custom exception in Java is created by extending the Exception or RuntimeException class.
What is the difference between the FileReader and FileInputStream classes in Java?,"FileReader and FileInputStream are both used for reading data from files in Java. FileReader is used for reading character data, while FileInputStream is used for reading binary data."
How do you handle character encoding in Java?,"Character encoding in Java is handled using InputStreamReader and OutputStreamWriter, which allow you to specify the character encoding for reading and writing data."
Explain the difference between the checked and unchecked exceptions in Java.,Checked exceptions are checked at compile-time and must be either caught or declared in the method signature using the 'throws' keyword. Unchecked exceptions (RuntimeExceptions) do not need to be caught or declared.
How do you create and use custom annotations in Java?,Custom annotations in Java can be created by defining an interface with the @interface keyword and specifying the retention policy and target elements.
What is the purpose of the @FunctionalInterface annotation in Java?,The @FunctionalInterface annotation is used to indicate that an interface is a functional interface and can be used with lambda expressions.
Explain the difference between the Callable and Runnable interfaces in Java.,"The Callable interface in Java is similar to the Runnable interface, but the Callable interface returns a result and can throw checked exceptions."
How do you create a custom thread in Java?,Custom threads can be created in Java by extending the Thread class or implementing the Runnable interface.
What is the ThreadLocal class in Java? How is it used?,"The ThreadLocal class in Java is used to create thread-local variables, which are variables that are specific to each thread."
Explain the significance of the Object class in Java.,"The Object class is the root class of all classes in Java. It provides default implementations of methods like toString(), equals(), and hashCode()."
What is the purpose of the clone() method in Java?,"The clone() method in Java is used to create a copy of an object. It performs a shallow copy by default, but deep copy can be achieved by overriding the clone() method."
How do you implement a Singleton pattern in Java?,A Singleton pattern in Java ensures that a class has only one instance and provides a global point of access to that instance.
Explain the difference between the factory method and the constructor in Java.,The factory method is a design pattern that provides an interface for creating objects in a superclass but allows subclasses to alter the type of objects that will be created.
What are the benefits of using the Java Stream API over traditional loops?,"The Java Stream API provides a more functional and declarative way of processing collections of data, making it more expressive and efficient."
